Unnamed: 0,time,pelvis_tilt,pelvis_tilt_speed,pelvis_list,pelvis_list_speed,pelvis_rotation,pelvis_rotation_speed,pelvis_tx,pelvis_tx_speed,pelvis_ty,pelvis_ty_speed,pelvis_tz,pelvis_tz_speed,hip_flexion_r,hip_flexion_r_speed,hip_adduction_r,hip_adduction_r_speed,hip_rotation_r,hip_rotation_r_speed,knee_angle_r,knee_angle_r_speed,ankle_angle_r,ankle_angle_r_speed,hip_flexion_l,hip_flexion_l_speed,hip_adduction_l,hip_adduction_l_speed,hip_rotation_l,hip_rotation_l_speed,knee_angle_l,knee_angle_l_speed,ankle_angle_l,ankle_angle_l_speed,lumbar_extension,lumbar_extension_speed,abd_r_activation,abd_r_fiber_length,add_r_activation,add_r_fiber_length,hamstrings_r_activation,hamstrings_r_fiber_length,bifemsh_r_activation,bifemsh_r_fiber_length,glut_max_r_activation,glut_max_r_fiber_length,iliopsoas_r_activation,iliopsoas_r_fiber_length,rect_fem_r_activation,rect_fem_r_fiber_length,vasti_r_activation,vasti_r_fiber_length,abd_l_activation,abd_l_fiber_length,add_l_activation,add_l_fiber_length,hamstrings_l_activation,hamstrings_l_fiber_length,bifemsh_l_activation,bifemsh_l_fiber_length,glut_max_l_activation,glut_max_l_fiber_length,iliopsoas_l_activation,iliopsoas_l_fiber_length,rect_fem_l_activation,rect_fem_l_fiber_length,vasti_l_activation,vasti_l_fiber_length,gastroc_l_activation,gastroc_l_fiber_length,soleus_l_activation,soleus_l_fiber_length,tib_ant_l_activation,tib_ant_l_fiber_length,head_pos_x,head_pos_y,head_pos_z,com_pos_x,com_pos_y,com_pos_z,toes_l_x,toes_l_y,toes_l_z,pros_foot_r_x,pros_foot_r_y,pros_foot_r_z
10,0.1,-0.108122367,-0.112620816,0.039953648,0.0264189,-0.003398415,0.0492933,0.02009059,0,1.58983564,0,0.10182334,-0.002722047,0.062775351,2.53516984,-0.008973294,-0.070800179,0,0,-0.260668942,-2.4349607,0.198448514,2.50618316,0.266243189,-0.829740411,0.055883595,0.051455358,0,0,-0.221224595,0.535845363,0.036976446,0.090507811,-0.0872665,0,0.042401847,0.080751533,0.041667389,0.064437262,0.034210526,0.079560535,0.034210526,0.134391943,0.040272058,0.174617664,0.053853689,0.118964246,0.0547945,0.046815717,0.042216132,0.07933878,0.110879205,0.080326127,0.084987274,0.057651162,0.288541705,0.063153777,0.036814437,0.130099496,0.165078968,0.169363775,0.034210526,0.12370533,0.034210526,0.06190519,0.034210526,0.087680522,0.087467368,0.051904584,0.069412926,0.045822346,0.040072179,0.061571899,0.027420891,1.569963208,-0.016721695,-0.032404035,1.001675488,-0.004054511,0.067116504,0.001441128,-0.079242238,0.116308043,0.076405245,0.166496036
11,0.11,-0.106781832,-0.123882897,0.040092206,0.02906079,-0.001822226,0.05422263,0.02227311,0,1.58949197,0,0.10040187,-0.002994252,0.06456798,2.43944724,-0.010913208,-0.077880197,0,0,-0.272039883,-1.90528968,0.199810234,2.65824031,0.262883944,-0.912714452,0.058254664,0.056600894,0,0,-0.221749515,0.589429899,0.040497815,0.099558592,-0.0872665,0,0.041642032,0.081074379,0.040834128,0.065354851,0.032631579,0.081160692,0.032631579,0.134396873,0.039299264,0.175994606,0.054239058,0.117854902,0.05527395,0.045470244,0.041437745,0.079381901,0.116967126,0.080606433,0.088486001,0.057890141,0.312395876,0.063113258,0.035495881,0.129675181,0.176586865,0.170215328,0.032631579,0.123070095,0.032631579,0.062068665,0.032631579,0.088557817,0.091214105,0.051374784,0.071354219,0.045909766,0.039079397,0.061441088,0.035441847,1.569741352,-0.018393405,-0.0271683,1.002393643,-0.004081787,0.068415309,0.001599389,-0.077843109,0.135049581,0.081710176,0.17497014
12,0.12,-0.106725158,-0.135144979,0.039917279,0.03170268,-1.88382E-05,0.05915196,0.02395573,0,1.58901456,0,0.09907175,-0.003266457,0.071304039,2.32067054,-0.01232201,-0.084960215,0,0,-0.289810658,-1.34226418,0.203253265,2.87959821,0.262017633,-0.995688493,0.060239329,0.061746429,0,0,-0.223289034,0.643014436,0.045649105,0.108609373,-0.0872665,0,0.040882217,0.081397225,0.040000867,0.06627244,0.031052632,0.082760849,0.031052632,0.134401803,0.038326469,0.177371548,0.054624427,0.116745558,0.0557534,0.044124771,0.040659358,0.079425022,0.123055046,0.080886739,0.091984728,0.05812912,0.336250046,0.06307274,0.034177324,0.129250866,0.188094762,0.17106688,0.031052632,0.122434859,0.031052632,0.062232139,0.031052632,0.089435113,0.094960842,0.050844985,0.073295512,0.045997187,0.038086615,0.061310277,0.04346122,1.569469077,-0.020064983,-0.02193357,1.003125509,-0.004107177,0.069725645,0.001835895,-0.076432018,0.153679882,0.08745785,0.183447114
13,0.13,-0.106659115,-0.146407061,0.039821631,0.03434457,0.002070812,0.06408129,0.02573282,0,1.58861172,0,0.09759656,-0.003538662,0.078741033,2.1856753,-0.014075598,-0.092040233,0,0,-0.308784615,-0.74689799,0.206150661,2.95300759,0.2613314,-1.078662534,0.062583972,0.066891965,0,0,-0.225689787,0.696598972,0.050715076,0.117660154,-0.0872665,0,0.040122402,0.081720072,0.039167606,0.067190028,0.029473684,0.084361006,0.029473684,0.134406732,0.037353675,0.178748489,0.055009796,0.115636214,0.05623285,0.042779298,0.039880971,0.079468143,0.129142967,0.081167045,0.095483456,0.058368098,0.360104217,0.063032221,0.032858768,0.128826551,0.199602659,0.171918433,0.029473684,0.121799623,0.029473684,0.062395614,0.029473684,0.090312408,0.098707579,0.050315186,0.075236804,0.046084607,0.037093833,0.061179466,0.051478504,1.569146408,-0.021736418,-0.016700627,1.003870889,-0.004131161,0.071045706,0.002150352,-0.075009381,0.172190023,0.093645487,0.191919561
14,0.14,-0.105421163,-0.157669142,0.040458504,0.03698646,0.004055294,0.06901062,0.02818242,0,1.58828723,0,0.09585909,-0.003810866,0.08436234,2.05422068,-0.017088398,-0.099120251,0,0,-0.328013451,-0.14031697,0.209165115,2.49548381,0.257728421,-1.161636575,0.06590544,0.072037501,0,0,-0.22684097,0.750183508,0.056706568,0.126710935,-0.0872665,0,0.039362586,0.082042918,0.038334345,0.068107617,0.027894737,0.085961164,0.027894737,0.134411662,0.036380881,0.180125431,0.055395165,0.11452687,0.0567123,0.041433825,0.039102584,0.079511264,0.135230887,0.081447351,0.098982183,0.058607077,0.383958387,0.062991703,0.031540212,0.128402235,0.211110556,0.172769986,0.027894737,0.121164388,0.027894737,0.062559088,0.027894737,0.091189703,0.102454316,0.049785386,0.077178097,0.046172028,0.036101051,0.061048655,0.059493195,1.568773375,-0.023407698,-0.011470244,1.004629564,-0.004154219,0.072373698,0.002542394,-0.073575634,0.190571187,0.100269975,0.200380066
15,0.15,-0.103775829,-0.168931224,0.040769642,0.03962835,0.005387659,0.07393995,0.03081967,0,1.58815913,0,0.09417052,-0.004083071,0.089832037,1.90901064,-0.019806526,-0.106200268,0,0,-0.347873567,0.43085581,0.206861384,2.38916964,0.251880958,-1.244610616,0.068658421,0.077183037,0,0,-0.224886064,0.803768045,0.061525067,0.135761716,-0.0872665,0,0.038602771,0.082365764,0.037501084,0.069025205,0.026315789,0.087561321,0.026315789,0.134416591,0.035408087,0.181502373,0.055780534,0.113417526,0.05719175,0.040088352,0.038324197,0.079554386,0.141318808,0.081727657,0.102480911,0.058846055,0.407812558,0.062951184,0.030221655,0.12797792,0.222618453,0.173621539,0.026315789,0.120529152,0.026315789,0.062722562,0.026315789,0.092066999,0.106201053,0.049255587,0.079119389,0.046259448,0.035108268,0.060917844,0.067504787,1.568350014,-0.025078811,-0.00624319,1.005401294,-0.004176837,0.073707846,0.003011586,-0.072131226,0.208814663,0.10732787,0.208821208
16,0.16,-0.103327561,-0.180193305,0.041126611,0.04227024,0.006419345,0.07886928,0.03267501,0,1.58793429,0,0.09256553,-0.004355276,0.101002087,1.7636798,-0.022684761,-0.113280286,0,0,-0.374208298,0.97482896,0.205974342,2.14467577,0.250283212,-1.327584657,0.071086674,0.082328573,0,0,-0.226873752,0.857352581,0.065723594,0.144812497,-0.0872665,0,0.037842956,0.082688611,0.036667823,0.069942794,0.024736842,0.089161478,0.024736842,0.134421521,0.034435293,0.182879315,0.056165903,0.112308182,0.0576712,0.038742879,0.037545811,0.079597507,0.147406728,0.082007962,0.105979638,0.059085034,0.431666728,0.062910666,0.028903099,0.127553605,0.234126349,0.174473092,0.024736842,0.119893917,0.024736842,0.062886037,0.024736842,0.092944294,0.109947789,0.048725788,0.081060682,0.046346869,0.034115486,0.060787033,0.075512775,1.567876366,-0.026749745,-0.001020223,1.006185817,-0.004199498,0.075046392,0.003557417,-0.070676622,0.226911857,0.1148154,0.217235573
17,0.17,-0.103132716,-0.191455387,0.041016333,0.04491213,0.007979504,0.08379861,0.03435652,0,1.58766011,0,0.09097435,-0.004627481,0.11446923,1.61628278,-0.025123112,-0.120360304,0,0,-0.403986503,1.49288825,0.206515137,1.82883241,0.250493803,-1.410558698,0.072998751,0.087474108,0,0,-0.231098687,0.910937117,0.069338524,0.153863278,-0.0872665,0,0.037083141,0.083011457,0.035834562,0.070860383,0.023157895,0.090761635,0.023157895,0.134426451,0.033462498,0.184256256,0.056551272,0.111198838,0.05815065,0.037397406,0.036767424,0.079640628,0.153494649,0.082288268,0.109478365,0.059324013,0.455520899,0.062870147,0.027584543,0.12712929,0.245634246,0.175324644,0.023157895,0.119258681,0.023157895,0.063049511,0.023157895,0.093821589,0.113694526,0.048195989,0.083001975,0.046434289,0.033122704,0.060656222,0.083516656,1.567352476,-0.028420488,0.004197904,1.006982853,-0.004222687,0.076387598,0.004179308,-0.069212294,0.244854291,0.122728465,0.225615766
18,0.18,-0.102355437,-0.202717468,0.040956579,0.04755402,0.008989045,0.08872794,0.036539,0,1.58753976,0,0.08930887,-0.004899685,0.12700032,1.47228036,-0.027780355,-0.127440322,0,0,-0.43336263,1.97194905,0.202848014,1.59655267,0.248005959,-1.493532739,0.075049047,0.092619644,0,0,-0.232609692,0.964521654,0.072649442,0.162914059,-0.0872665,0,0.036323325,0.083334304,0.035001301,0.071777971,0.021578947,0.092361793,0.021578947,0.13443138,0.032489704,0.185633198,0.056936641,0.110089494,0.0586301,0.036051933,0.035989037,0.079683749,0.159582569,0.082568574,0.112977093,0.059562991,0.479375069,0.062829629,0.026265986,0.126704975,0.257142143,0.176176197,0.021578947,0.118623446,0.021578947,0.063212986,0.021578947,0.094698885,0.117441263,0.047666189,0.084943267,0.04652171,0.032129922,0.060525411,0.091515926,1.566778396,-0.030091027,0.009410447,1.0077921,-0.004246887,0.077729745,0.004876608,-0.067738723,0.262633614,0.131062642,0.23395443
19,0.19,-0.102249293,-0.21397955,0.04145246,0.05019591,0.009244492,0.09365727,0.03845837,0,1.58738064,0,0.08758054,-0.00517189,0.143721324,1.34331022,-0.031424406,-0.13452034,0,0,-0.468182278,2.39983834,0.196180651,1.37759342,0.246430767,-1.57650678,0.077666183,0.09776518,0,0,-0.233829127,1.01810619,0.075373557,0.17196484,-0.0872665,0,0.03556351,0.08365715,0.03416804,0.07269556,0.02,0.09396195,0.02,0.13443631,0.03151691,0.18701014,0.05732201,0.10898015,0.05910955,0.03470646,0.03521065,0.07972687,0.16567049,0.08284888,0.11647582,0.05980197,0.50322924,0.06278911,0.02494743,0.12628066,0.26865004,0.17702775,0.02,0.11798821,0.02,0.06337646,0.02,0.09557618,0.121188,0.04713639,0.08688456,0.04660913,0.03113714,0.0603946,0.099510082,1.566154183,-0.031761352,0.014616669,1.008613233,-0.00427258,0.07907114,0.005648595,-0.066256398,0.280241604,0.139813188,0.242244251
20,0.2,-0.102091231,-0.22119669,0.041853036,0.04908915,0.009581493,0.10053603,0.04023281,1.08897348,1.58726588,0.07376086,0.08582487,0.00126162,0.162940398,1.22870621,-0.035060007,-0.07966986,0,0,-0.507289888,2.78206482,0.185972935,1.19870539,0.244491397,-1.52026081,0.080345577,0.0915215,0,0,-0.233654255,0.94618049,0.076743434,0.21547062,-0.0872665,0,0.03381514,0.08416278,0.03234838,0.07346014,0.02,0.09526773,0.02,0.13444414,0.03004745,0.18817301,0.05565002,0.10790225,0.06224452,0.03321733,0.03350919,0.07974537,0.16132749,0.08258766,0.11405594,0.05949098,0.50663237,0.06231923,0.02432674,0.12656718,0.27065412,0.17626295,0.02,0.11861295,0.02,0.06366162,0.02,0.0951143,0.11874485,0.04753054,0.0778277,0.04656106,0.03100661,0.06035773,0.110882593,1.566915672,-0.031099539,0.024905696,1.009920563,-0.003803431,0.078116759,0.005626494,-0.065900076,0.309225667,0.149050786,0.242676426
21,0.21,-0.102421313,-0.22708992,0.042478188,0.05104448,0.010171873,0.10445611,0.04203308,1.08346862,1.58725149,0.05072714,0.08400219,0.0063189,0.184367474,1.11799388,-0.039211982,-0.03233143,0,0,-0.548420247,3.13765872,0.171203548,1.01794909,0.242344864,-1.4691156,0.083671985,0.08993108,0,0,-0.230854865,0.87243623,0.075973111,0.26513866,-0.0872665,0,0.03229844,0.0846497,0.03076928,0.07417322,0.02,0.09648767,0.02,0.1344512,0.02876964,0.18926394,0.05523822,0.10687347,0.06312655,0.03179382,0.03203283,0.07976109,0.16126704,0.08232638,0.10859808,0.05920392,0.49733408,0.06186049,0.02378405,0.12683272,0.26919028,0.17552321,0.02,0.11921509,0.02,0.06395067,0.02,0.09468455,0.11748185,0.04791487,0.07509941,0.04655732,0.03062327,0.06030393,0.123154672,1.567440962,-0.030693179,0.036018695,1.011012438,-0.003617312,0.078100211,0.005605941,-0.065840157,0.337772889,0.157920491,0.242357354
22,0.22,-0.102927205,-0.23644177,0.043293614,0.05511863,0.010271512,0.10343767,0.0436349,1.07725819,1.58706477,0.02769197,0.08213619,0.01050441,0.207466152,1.01322403,-0.043977042,0.01236531,0,0,-0.59141088,3.46522541,0.155205711,0.83594359,0.24077594,-1.41482572,0.086645964,0.08953865,0,0,-0.23084886,0.80129524,0.078013524,0.31195027,-0.0872665,0,0.0309812,0.08511278,0.0293973,0.0748313,0.02,0.09761735,0.02,0.1344596,0.02765777,0.19028029,0.05444682,0.1059027,0.06214657,0.03047106,0.03075038,0.07977123,0.15827206,0.08207437,0.10391055,0.05893865,0.5023553,0.06140203,0.02331006,0.12707574,0.26908907,0.17480401,0.02,0.11979429,0.02,0.06424604,0.02,0.09428763,0.11577666,0.04829546,0.068798,0.04658126,0.03058905,0.0602296,0.135416009,1.567729007,-0.030220801,0.047032563,1.01188173,-0.003402813,0.078090675,0.005575868,-0.065761375,0.364854335,0.166280839,0.241636839
23,0.23,-0.102878557,-0.24833476,0.044600586,0.06153168,0.010898613,0.09937558,0.04532706,1.07100508,1.58679667,0.00497582,0.08024062,0.01360809,0.230323557,0.92073111,-0.049622115,0.05392301,0,0,-0.635280047,3.76134109,0.139578089,0.62684517,0.237952479,-1.35999294,0.090165661,0.09174145,0,0,-0.229371805,0.73303437,0.079527913,0.352982,-0.0872665,0,0.02958191,0.08555519,0.02820404,0.07543189,0.02,0.09865238,0.02,0.13446682,0.02794552,0.19121373,0.05268801,0.10500435,0.06083011,0.02925515,0.02988946,0.07977759,0.15811428,0.08182884,0.09677071,0.05869771,0.49344648,0.06095204,0.02289593,0.12729742,0.26877309,0.1741083,0.02,0.12034995,0.02,0.06454664,0.02,0.0939228,0.115108,0.04866307,0.06339558,0.04667167,0.03053057,0.06013163,0.147681505,1.567780142,-0.029680109,0.05794671,1.0125242,-0.003167047,0.078092635,0.005532853,-0.065669817,0.390365205,0.173987602,0.240541322
